badge,badge_type,is_finish,media_id,index_show,follow,play,pub_real_time,pub_date,renewal_time,score,season_id,title,tags,count
会员专享,0,1,22503880,全12话,206.3万追番,6343.6万次播放,1554825600,1554825600,1561563000,6.7分,26794,贤者之孙,小说改 奇幻 架空 穿越,0
会员专享,0,1,844,全26话,202.7万追番,1077.1万次播放,1301673600,1301673600,1316938800,9.9分,844,日常,萌系 搞笑 日常 漫画改,0
会员专享,0,1,28221403,全12话,205.4万追番,4282.3万次播放,1562428800,1562428800,1569164400,9.9分,28006,擅长捉弄的高木同学 第二季,漫画改 校园 恋爱 日常,0
会员专享,0,1,2732,全13话,205.6万追番,9721.6万次播放,1443715200,1443715200,1451063160,9.4分,2732,野良神 ARAGOTO,奇幻 战斗 漫画改 神魔,0
会员专享,0,1,8812,全24话,206.8万追番,7944.5万次播放,1516118400,1516118400,1530034500,9.8分,21469,齐木楠雄的灾难 第二季,搞笑 校园 漫画改,0
会员专享,0,1,28222749,全23话,211.4万追番,9068万次播放,1570204800,1570204800,1583578800,9.5分,28638,入间同学入魔了,漫画改 校园 搞笑 奇幻,0
,,1,5747,全1话,213万追番,2551.4万次播放,1483113600,1483113600,1483196409,8.2分,5747,Fate/Grand Order ‐First Order‐,战斗 游戏改,0
会员专享,0,1,28222700,全24话,212.7万追番,4161.5万次播放,1570550400,1570550400,1585130400,4.6分,28598,诸神的逆鳞,漫画改 热血 战斗 奇幻,0
会员专享,0,1,5912238,全13话,212.2万追番,4124.6万次播放,1562428800,1562428800,1569688200,9.7分,26363,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,小说改 奇幻 魔法 冒险,0
,,1,24755609,全25话,213.3万追番,4473.7万次播放,1341590400,1341590400,1553840100,9.8分,4452,刀剑神域,小说改 热血 奇幻 战斗,0
,,1,2680,全12话,212.7万追番,3341万次播放,1326038400,1326038400,1432720758,9.8分,2680,男子高中生的日常,搞笑 校园 日常 漫画改,0
会员专享,0,1,28221415,全12话,214.1万追番,4776.7万次播放,1562256000,1562256000,1568988000,9.8分,28016,女高中生的虚度日常,日常 漫画改 校园 搞笑,0
,,1,5017,全13话,211.7万追番,8038.7万次播放,1467388800,1467388800,1474725610,9.3分,5017,食戟之灵 贰之皿,热血 美食,0
会员专享,0,1,3462,全50话,177.6万追番,8610.4万次播放,1459872000,1459872000,1490783102,8.4分,3462,双星之阴阳师,热血 奇幻 战斗 冒险,0
,,1,11732,全12话,181万追番,3651.3万次播放,1515686400,1515686400,1522393200,9.6分,21720,小木乃伊到我家,漫画改 萌系 搞笑 日常,0
会员专享,0,1,28228037,全12话,176.1万追番,188万次播放,1492099200,1492099200,1582875649,9.8分,5980,剑姬神圣谭  在地下城寻求邂逅是否搞错了什么 外传,小说改 奇幻 架空 神魔,0
会员专享,0,1,685,全13话,174万追番,1874.8万次播放,1349280000,1349280000,1452073320,9.4分,685,K,奇幻 战斗 声控,0
,,1,4349,全13话,183.8万追番,6311万次播放,1389110400,1389110400,1468893960,9.6分,4349,中二病也要谈恋爱！恋,搞笑 恋爱,0
会员专享,0,1,28222622,全12话,176.4万追番,4659.4万次播放,1570377600,1570377600,1577113200,8.1分,28544,我，不是说了能力要平均值么！,小说改 穿越 奇幻 萌系,0
,,1,6425,全12话,176.5万追番,2329.2万次播放,1507132800,1507132800,1513785600,9.8分,6425,此花亭奇谭,萌系 漫画改 日常 治愈,0
,,1,969,全26话,184.1万追番,1943.1万次播放,1270137600,1270137600,1536229548,9.8分,969,会长是女仆大人！,日常 少女 校园 恋爱,0
,,1,2932,全13话,177.2万追番,6841.6万次播放,1365004800,1365004800,1372379115,9.7分,2932,打工吧！魔王大人,日常 小说改 神魔 职场,0
付费观看,2,1,11932,全24话,184.7万追番,7499.5万次播放,1515168000,1515168000,1530309600,9.7分,21729,戒律的复活,热血 战斗 漫画改 架空,0
会员专享,0,1,28221395,全13话,177.6万追番,3648.2万次播放,1562947200,1562947200,1580317200,9.0分,27999,在地下城寻求邂逅是否搞错了什么 第二季,小说改 奇幻 战斗 冒险,0
会员专享,0,0,6422,更新至第132话,167.6万追番,1.2亿次播放,1506960000,1506960000,1588069500,9.4分,6422,黑色四叶草,战斗 热血 魔法 漫画改,0
会员专享,0,1,5977,全13话,188.1万追番,3712万次播放,1491926400,1491926400,1529572920,9.8分,5977,夏目友人帐 陆,催泪 奇幻 日常 治愈,0
会员专享,0,1,6001,全12话,189万追番,3973.9万次播放,1491753600,1491753600,1498491000,8.8分,6001,从零开始的魔法书,小说改 奇幻 魔法 架空,0
会员专享,0,1,2722,全12话,167.9万追番,7560.1万次播放,1443801600,1443801600,1450530055,8.2分,2722,学战都市Asterisk,校园 奇幻 战斗 架空,0
,,1,1672,全25话,188.1万追番,2424.3万次播放,1222876800,1222876800,1589630940,9.8分,1672,龙与虎,少女 校园 治愈 催泪,0
会员专享,0,1,28222688,全13话,171.3万追番,3034.9万次播放,1570291200,1570291200,1577552400,5.3分,28590,我们无法一起学习！,漫画改 日常 校园 恋爱,0
会员专享,0,1,6304,全13话,169.4万追番,6238.9万次播放,1498924800,1498924800,1506263400,8.5分,6304,骑士&魔法,小说改 机战 奇幻 魔法,0
会员专享,0,1,28222693,全13话,188万追番,4969.6万次播放,1570032000,1570032000,1577293200,8.9分,28595,喜欢本大爷的竟然就你一个？,小说改 校园 恋爱,0
限时免费,0,1,28228827,全26话,170.6万追番,289.2万次播放,1128355200,1128355200,1588907340,9.8分,4996,地狱少女,原创 神魔,0
,,1,11712,全16话,171.6万追番,4513.5万次播放,1515254400,1515254400,1554132060,8.6分,21719,pop子和pipi美的日常,搞笑 漫画改,0
,,1,2660,全16话,190.8万追番,2897万次播放,1286035200,1286035200,1406891882,9.2分,2660,我的妹妹不可能那么可爱 第一季,萌系 校园 日常 恋爱,0
,,1,2546,全1话,173.6万追番,1457.3万次播放,1369929600,1369929600,1435145961,9.7分,2546,言叶之庭,日常 少女 治愈,0
会员专享,0,1,28221335,全24话,192.3万追番,5816.7万次播放,1562342400,1562342400,1577466600,9.2分,27959,炎炎消防队,漫画改 战斗 热血,0
,,1,6310,全12话,173.8万追番,3951.9万次播放,1499097600,1499097600,1505756100,9.4分,6310,异世界食堂,小说改 奇幻 美食 架空,0
,,1,28227496,全20话,145万追番,659.4万次播放,1389369600,1389369600,1400942280,9.5分,1573,伪恋,漫画改 搞笑 日常 校园,0
会员专享,0,1,28221396,全13话,141.6万追番,2933.3万次播放,1562428800,1562428800,1582732803,9.3分,28000,实况主的逃脱游戏,漫画改 穿越 冒险,0
会员专享,0,1,191,全12话,143.4万追番,1329.1万次播放,1397059200,1397059200,1473919083,9.7分,191,请问您今天要来点兔子吗？,萌系 日常 美食 治愈,0
会员专享,0,1,2725,全13话,144.2万追番,6501.8万次播放,1443715200,1443715200,1451068260,9.2分,2725,K RETURN OF KINGS,奇幻 战斗 声控 原创,0
会员专享,0,1,3287,全57话,148.8万追番,1.1亿次播放,1452700800,1452700800,1490268602,9.7分,3287,火影忍者 疾风传,热血 战斗 漫画改 架空,0
,,1,6439,全12话,147.6万追番,3008.7万次播放,1507392000,1507392000,1514056080,9.8分,6439,幻界战线 & BEYOND,奇幻 战斗 漫画改,0
,,1,688,全13话,148.7万追番,3812.8万次播放,1349020800,1349020800,1376375126,9.6分,688,邻座的怪同学,搞笑 少女 校园,0
,,1,439,全10话,149.2万追番,4116.4万次播放,1357833600,1357833600,1363393519,9.2分,439,问题儿童都来自异世界？,奇幻 战斗 热血 架空,0
会员专享,0,1,79472,全13话,150.1万追番,3920.4万次播放,1522944000,1522944000,1530208920,9.8分,23880,Megalo Box,运动,0
会员专享,0,1,102752,全12话,151.9万追番,2882.8万次播放,1530720000,1530720000,1537452000,6.9分,24627,异界少女召唤术,小说改 奇幻 战斗 魔法,0
,,1,116772,全12话,151.1万追番,1426.5万次播放,1357660800,1357660800,1531818459,9.8分,4262,玉子市场,萌系 少女 治愈 日常,0
会员抢先,0,1,28228304,全12话,152.1万追番,1760.3万次播放,1586102400,1586102400,1588252500,9.8分,32938,邪神与厨二病少女 第二季,搞笑 日常 神魔 漫画改,0
,,1,2760,全12话,153万追番,5568.8万次播放,1444406400,1444406400,1451152860,8.7分,2760,终结的炽天使 名古屋决战篇,奇幻 校园 战斗,0
,,1,281,全14话,155.2万追番,1172.8万次播放,1412524800,1412524800,1532164440,9.7分,281,甘城光辉游乐园,日常 奇幻 励志 职场,0
会员专享,0,1,5070,全120话,153.7万追番,2亿次播放,1467561600,1467561600,1482687301,9.6分,5070,齐木楠雄的灾难（日播&精选版）,奇幻 校园 泡面 漫画改,0
,,1,2673,全10话,155.9万追番,4515.2万次播放,1381248000,1381248000,1386783100,9.4分,2673,我的脑内选项正在全力妨碍学园恋爱喜剧,搞笑 校园 恋爱,0
会员专享,0,1,28223817,全13话,157.6万追番,1473.6万次播放,1578153600,1578153600,1585413000,9.5分,29076,魔法纪录 魔法少女小圆外传,游戏改 奇幻 战斗 萌系,0
